hito1;hito2;exitosos;fallidos;sol1;programa
32.0;0.0;16;15;3.7;UNAB12210
22.0;0.0;12;19;3.7;UNAB11500
23.0;0;12;4;3.7;UNAB11500
13.0;0.0;6;25;3.7;UNAB11500
32.0;0.0;16;15;3.7;UNAB12210
16.0;0;10;6;3.7;UNAB12100
32.0;0.0;16;15;3.7;UNAB12210
6.0;0;4;12;3.7;UNAB22115
21.0;0.0;10;21;3.7;UNAB12510
15.0;0;9;7;3.7;UNAB11500
18.0;0;10;6;3.8;UNAB22100
19.0;0;10;6;3.8;UNAB12100
8.0;0;5;11;3.8;UNAB12100
20.0;0;11;5;3.8;UNAB12210
17.0;0.0;10;21;3.8;UNAB12210
17.0;0;10;6;3.8;UNAB11500
8.0;0.0;6;25;3.8;UNAB11500
23.0;0;12;4;3.9;UNAB22510
0.0;0;0;16;3.9;UNAB11500
20.0;0.0;11;20;3.9;UNAB12210
10.0;0;6;10;3.9;UNAB12210
22.0;0;12;4;3.9;UNAB11500
27.0;0;14;2;3.9;UNAB21500
17.0;0;10;6;4;UNAB22115
20.0;0.0;11;20;4;UNAB22115
7.0;0;5;11;4;UNAB22115
1.0;0;1;15;4;UNAB22115
3.0;0;3;13;4;UNAB22100
29.0;0.0;15;16;4;UNAB21500
3.0;0;3;13;4;UNAB11500
0.0;0;0;16;4;UNAB12210
24.0;0;12;4;4;UNAB12510
19.0;0;10;6;4;UNAB11500
13.0;0;7;9;4;UNAB12100
20.0;0;11;5;4;UNAB12210
29.0;0.0;15;16;4;UNAB12210
17.0;0;10;6;4;UNAB12210
17.0;0.0;10;21;4;UNAB12100
0.0;0;0;16;4;UNAB12210
20.0;0;11;5;4;UNAB12510
18.0;0;10;6;4;UNAB11500
14.0;0.0;7;24;4;UNAB12210
11.0;0;6;10;4;UNAB12100
7.0;0.0;5;26;4;UNAB11500
13.0;0;8;8;4;UNAB12100
13.0;0;9;7;4;UNAB12210
14.0;0;8;8;4;UNAB11500
0;0;0;0;4;UNAB11500
13.0;0;7;9;4;UNAB12100
10.0;0;7;9;4;UNAB12210
23.0;0;13;3;4;UNAB11500
20.0;0.0;10;21;4;UNAB12210
5.0;0;4;12;4;UNAB11500
0.0;0;0;16;4;UNAB12100
12.0;0;7;9;4;UNAB12100
15.0;0;9;7;4;UNAB12100
17.0;0;10;6;4.1;UNAB21500
0.0;0;0;16;4.1;UNAB12210
8.0;0;6;10;4.1;UNAB22100
9.0;0;6;10;4.1;UNAB22100
10.0;0;6;10;4.1;UNAB21500
13.0;0;7;9;4.1;UNAB12100
0;0;0;0;4.2;UNAB22115
12.0;0;7;9;4.2;UNAB22100
10.0;0;7;9;4.2;UNAB22100
10.0;0;5;11;4.2;UNAB21500
20.0;0;11;5;4.2;UNAB21500
32.0;0;16;0;4.2;UNAB22510
12.0;0;8;8;4.2;UNAB12100
22.0;0.0;12;19;4.2;UNAB12100
20.0;0;11;5;4.2;UNAB12210
23.0;0;13;3;4.2;UNAB11500
32.0;0;16;0;4.2;UNAB21500
19.0;0.0;11;20;4.2;UNAB22510
7.0;0;5;11;4.2;UNAB12100
29.0;0.0;14;17;4.3;UNAB11500
18.0;0.0;11;20;4.3;UNAB22100
27.0;0;13;3;4.3;UNAB21500
3.0;0;3;13;4.3;UNAB22115
17.0;0.0;10;21;4.3;UNAB22115
15.0;0.0;7;24;4.3;UNAB12100
21.0;0;12;4;4.3;UNAB11500
9.0;0.0;7;40;4.3;UNAB11500
12.0;0.0;7;24;4.3;UNAB12100
11.0;0;7;9;4.3;UNAB11500
15.0;0;9;7;4.3;UNAB11500
32.0;0.0;16;15;4.3;UNAB21500
19.0;0;11;5;4.3;UNAB22100
24.0;0.0;13;18;4.3;UNAB11500
23.0;0;13;3;4.4;UNAB22100
12.0;0;7;9;4.4;UNAB12210
38.0;6.0;28;35;4.4;UNAB12210
16.0;0.0;10;21;4.4;UNAB12100
22.0;0.0;12;19;4.4;UNAB12210
11.0;0.0;8;23;4.4;UNAB12210
5.0;0;4;12;4.4;UNAB11500
16.0;0;10;6;4.4;UNAB11500
32.0;0.0;16;15;4.4;UNAB12210
16.0;0;10;6;4.4;UNAB12210
10.0;0;6;10;4.5;UNAB22115
8.0;0.0;5;26;4.5;UNAB22510
7.0;0;5;11;4.5;UNAB12100
3.0;0.0;3;28;4.5;UNAB12100
12.0;0.0;8;23;4.5;UNAB12100
9.0;0.0;6;25;4.5;UNAB12100
24.0;0;13;3;4.5;UNAB11500
4.0;0;3;13;4.5;UNAB11500
17.0;0;9;7;4.5;UNAB11500
20.0;0;11;5;4.6;UNAB22510
29.0;0;15;1;4.6;UNAB12210
32.0;32.0;26;5;4.6;UNAB12210
29.0;0.0;15;16;4.6;UNAB12210
7.0;0.0;5;26;4.6;UNAB12100
0.0;0;0;16;4.6;UNAB11500
32.0;0.0;16;15;4.6;UNAB12210
18.0;2.0;11;20;4.6;UNAB12210
19.0;0;11;5;4.6;UNAB12100
8.0;0.0;5;26;4.6;UNAB12210
30.0;0;15;1;4.6;UNAB12210
32.0;0.0;16;15;4.6;UNAB12210
16.0;0;9;7;4.6;UNAB12100
17.0;0;9;7;4.6;UNAB11500
12.0;0;7;9;4.6;UNAB12210
24.0;0.0;12;19;4.6;UNAB11500
26.0;0.0;13;18;4.6;UNAB12210
21.0;0.0;11;20;4.6;UNAB12100
15.0;0;9;7;4.7;UNAB22100
32.0;0.0;16;15;4.7;UNAB12210
9.0;0;6;10;4.7;UNAB21500
15.0;0;10;6;4.7;UNAB22100
32.0;0.0;16;15;4.7;UNAB12210
31.0;0;15;1;4.7;UNAB12210
24.0;0.0;13;18;4.7;UNAB12210
0.0;0;0;16;4.7;UNAB11500
10.0;0;7;9;4.7;UNAB12100
13.0;0;8;8;4.7;UNAB11500
32.0;0.0;16;15;4.7;UNAB12510
27.0;0;14;2;4.7;UNAB21500
0.0;0.0;0;31;4.8;UNAB22115
0;0;0;0;4.8;UNAB21503
29.0;0.0;15;16;4.8;UNAB21500
0;0;0;0;4.8;UNAB22115
14.0;0.0;8;23;4.8;UNAB12100
20.0;0.0;11;20;4.8;UNAB12510
23.0;0;11;5;4.8;UNAB11500
7.0;0;5;11;4.8;UNAB12100
7.0;0.0;5;26;4.8;UNAB12100
18.0;0.0;10;21;4.8;UNAB12100
18.0;0;10;6;4.8;UNAB12100
10.0;0;7;9;4.8;UNAB12100
23.0;0.0;12;19;4.8;UNAB12510
5.0;0;4;12;4.8;UNAB11500
15.0;0.0;9;22;4.8;UNAB11500
17.0;0;10;6;4.8;UNAB11500
19.0;0;9;7;4.8;UNAB11500
19.0;0;10;6;4.8;UNAB12210
4.0;0;3;13;4.9;UNAB22115
32.0;0;16;0;4.9;UNAB12100
20.0;0.0;11;20;4.9;UNAB12210
20.0;0.0;11;20;4.9;UNAB12210
22.0;0;12;4;4.9;UNAB12100
20.0;0.0;11;20;4.9;UNAB12100
9.0;0;6;10;4.9;UNAB12100
32.0;0.0;16;15;4.9;UNAB12210
10.0;0;6;10;4.9;UNAB12100
17.0;0.0;10;21;4.9;UNAB12210
16.0;0;9;7;4.9;UNAB12210
0.0;0;0;16;4.9;UNAB11500
15.0;0;9;7;4.9;UNAB21503
17.0;0.0;10;21;4.9;UNAB12210
15.0;0.0;9;22;5;UNAB22115
25.0;0;13;3;5;UNAB22100
4.0;0.0;3;28;5;UNAB12100
15.0;0;9;7;5;UNAB11500
29.0;0.0;15;16;5;UNAB12510
20.0;0;11;5;5;UNAB11500
32.0;0.0;16;15;5;UNAB12210
18.0;0;10;6;5;UNAB12100
0.0;0;0;16;5;UNAB11500
32.0;0.0;16;15;5;UNAB12210
32.0;0.0;16;15;5;UNAB12210
15.0;0.0;8;23;5;UNAB12210
10.0;0;6;10;5;UNAB11500
0;0;0;0;5;UNAB12100
31.0;0.0;15;16;5;UNAB12210
0.0;0.0;0;31;5;UNAB11500
23.0;0;13;3;5.1;UNAB22100
14.0;0;8;8;5.1;UNAB22115
0;0;0;0;5.1;UNAB12100
29.0;0.0;15;16;5.1;UNAB22100
25.0;0.0;13;18;5.1;UNAB11500
25.0;0;13;3;5.1;UNAB11500
17.0;0.0;10;21;5.1;UNAB11500
14.0;0;8;8;5.1;UNAB12210
13.0;0;6;10;5.1;UNAB12510
10.0;0;6;10;5.1;UNAB11500
0.0;0;0;16;5.1;UNAB12100
23.0;0;12;4;5.1;UNAB11500
15.0;0;9;7;5.2;UNAB21503
21.0;0;12;4;5.2;UNAB21500
28.0;0.0;15;16;5.2;UNAB21503
17.0;0;10;6;5.2;UNAB22100
25.0;0;13;3;5.2;UNAB12210
32.0;0.0;16;15;5.2;UNAB11500
13.0;0;8;8;5.2;UNAB22100
22.0;0;12;4;5.2;UNAB12210
16.0;0.0;8;23;5.2;UNAB11500
14.0;0;8;8;5.2;UNAB12210
24.0;0.0;13;18;5.2;UNAB11500
32.0;0.0;16;15;5.2;UNAB12210
12.0;0;8;8;5.2;UNAB12210
32.0;0.0;16;15;5.2;UNAB12210
26.0;0.0;13;18;5.2;UNAB12210
22.0;0;12;4;5.2;UNAB11500
10.0;0;6;10;5.2;UNAB12210
16.0;0.0;8;23;5.2;UNAB12210
11.0;0;7;9;5.2;UNAB12100
19.0;0;11;5;5.2;UNAB12210
0.0;0;0;16;5.3;UNAB22115
0.0;0;0;16;5.3;UNAB22115
23.0;0.0;12;19;5.3;UNAB11500
7.0;0.0;5;26;5.3;UNAB12100
24.0;0.0;13;18;5.3;UNAB11500
20.0;0;11;5;5.3;UNAB11500
10.0;0;6;10;5.3;UNAB12100
32.0;0.0;16;15;5.3;UNAB21500
27.0;0;14;2;5.3;UNAB21500
32.0;0;16;0;5.3;UNAB11500
21.0;0;12;4;5.4;UNAB21503
0;0;0;0;5.4;UNAB21503
0;0;0;0;5.4;UNAB22115
29.0;0;15;1;5.4;UNAB22100
17.0;0;10;6;5.4;UNAB11500
0.0;0.0;0;31;5.4;UNAB11500
10.0;0.0;7;24;5.4;UNAB11500
32.0;0.0;16;15;5.4;UNAB11500
28.0;0.0;15;16;5.4;UNAB12210
15.0;0;8;8;5.4;UNAB12100
22.0;0;12;4;5.4;UNAB11500
32.0;0;16;0;5.4;UNAB12210
30.0;0.0;15;16;5.4;UNAB12210
14.0;0;8;8;5.4;UNAB12100
28.0;0;14;2;5.4;UNAB11500
11.0;0;6;10;5.5;UNAB22115
0;0;0;0;5.5;UNAB22115
20.0;0.0;11;20;5.5;UNAB11500
30.0;0;15;1;5.5;UNAB12210
20.0;0;11;5;5.5;UNAB12210
0.0;0;0;16;5.5;UNAB12210
32.0;0.0;16;15;5.5;UNAB12210
32.0;0.0;16;15;5.5;UNAB12210
32.0;0.0;16;15;5.5;UNAB12210
28.0;0;14;2;5.5;UNAB12210
0.0;0;0;16;5.6;UNAB22115
16.0;0;9;7;5.6;UNAB22510
22.0;0;12;4;5.6;UNAB11500
22.0;0.0;11;20;5.6;UNAB12510
20.0;0;11;5;5.6;UNAB12510
32.0;0.0;16;15;5.6;UNAB12210
3.0;0;3;13;5.6;UNAB11500
32.0;0.0;16;15;5.6;UNAB11500
17.0;0;10;6;5.6;UNAB11500
15.0;0;9;7;5.6;UNAB11500
28.0;0;13;3;5.6;UNAB12510
7.0;0;5;11;5.6;UNAB11500
14.0;0;8;8;5.6;UNAB12210
24.0;0.0;13;18;5.6;UNAB12210
20.0;0.0;11;20;5.7;UNAB12100
23.0;0;12;4;5.7;UNAB11500
8.0;0;5;11;5.7;UNAB12210
21.0;0;12;4;5.7;UNAB12210
22.0;0;10;6;5.7;UNAB11500
32.0;0.0;16;15;5.7;UNAB12210
9.0;0;6;10;5.8;UNAB21503
0.0;0;0;16;5.8;UNAB22115
20.0;0;11;5;5.8;UNAB22115
15.0;0.0;9;22;5.8;UNAB22115
20.0;0;11;5;5.8;UNAB22115
5.0;0;4;12;5.8;UNAB22115
0.0;0;0;16;5.8;UNAB22115
20.0;0;11;5;5.8;UNAB22115
32.0;0;16;0;5.8;UNAB12210
19.0;0.0;11;20;5.8;UNAB11500
16.0;0.0;9;22;5.8;UNAB12510
15.0;0;9;7;5.8;UNAB11500
32.0;0;16;0;5.8;UNAB12210
32.0;0;16;0;5.8;UNAB11500
17.0;0.0;10;21;5.8;UNAB11500
12.0;0;8;8;5.8;UNAB12100
32.0;0;16;0;5.8;UNAB11500
23.0;0;12;4;5.8;UNAB11500
15.0;0;8;8;5.8;UNAB12100
32.0;0.0;16;15;5.8;UNAB12210
32.0;0.0;16;15;5.8;UNAB12210
15.0;0;9;7;5.9;UNAB22510
21.0;0;12;4;5.9;UNAB22510
20.0;0;11;5;5.9;UNAB22510
18.0;0;11;5;5.9;UNAB22100
15.0;0;9;7;5.9;UNAB12210
32.0;14.0;21;10;5.9;UNAB12210
17.0;0;10;6;5.9;UNAB22510
10.0;0;6;10;5.9;UNAB12100
7.0;0;5;11;6;UNAB22115
9.0;0;6;10;6;UNAB12100
8.0;0;5;11;6;UNAB12210
8.0;0;6;10;6;UNAB12100
22.0;0.0;12;19;6;UNAB12210
22.0;0;12;4;6;UNAB12100
32.0;0.0;16;15;6;UNAB12210
32.0;0.0;16;15;6;UNAB12210
32.0;0;16;0;6;UNAB12210
32.0;0;16;0;6;UNAB12210
32.0;0.0;16;15;6;UNAB12210
27.0;0;14;2;6;UNAB12510
32.0;0.0;16;15;6.1;UNAB12210
29.0;0.0;15;16;6.1;UNAB12210
0.0;0;0;16;6.1;UNAB12100
26.0;0;13;3;6.1;UNAB12210
0;0;0;0;6.1;UNAB12210
32.0;0;16;0;6.1;UNAB12210
5.0;0.0;4;27;6.2;UNAB22115
15.0;0.0;9;22;6.2;UNAB22100
20.0;0.0;10;21;6.2;UNAB12510
26.0;0;13;3;6.2;UNAB12210
0;0;0;0;6.2;UNAB12210
24.0;0;13;3;6.2;UNAB12210
13.0;0;8;8;6.2;UNAB12210
30.0;0.0;15;16;6.2;UNAB12210
32.0;0.0;16;15;6.2;UNAB12210
29.0;0.0;14;17;6.2;UNAB12210
32.0;0.0;16;15;6.2;UNAB12210
32.0;0.0;16;15;6.2;UNAB12210
32.0;0.0;16;15;6.2;UNAB12510
15.0;0;9;7;6.3;UNAB22100
18.0;0.0;11;20;6.3;UNAB22100
27.0;0;14;2;6.3;UNAB12210
15.0;0;9;7;6.3;UNAB11500
20.0;0.0;11;20;6.3;UNAB12210
0.0;0;0;16;6.4;UNAB35636
12.0;0;8;8;6.4;UNAB12210
0.0;0;0;16;6.4;UNAB22100
0.0;0;0;16;6.4;UNAB21503
0;0;0;0;6.4;UNAB22115
11.0;0;7;9;6.4;UNAB11500
26.0;0.0;13;18;6.4;UNAB12510
0.0;0;0;16;6.4;UNAB11500
30.0;0.0;19;28;6.4;UNAB12100
32.0;0;16;0;6.4;UNAB12210
12.0;0.0;7;24;6.4;UNAB12210
8.0;0;4;12;6.4;UNAB12210
20.0;0.0;11;20;6.4;UNAB12210
32.0;0.0;16;15;6.4;UNAB12210
5.0;0;4;12;6.4;UNAB11500
32.0;0.0;16;15;6.4;UNAB12210
32.0;0.0;16;15;6.4;UNAB11500
13.0;0;9;7;6.4;UNAB11500
32.0;0.0;16;15;6.4;UNAB12210
27.0;0.0;14;17;6.4;UNAB12100
18.0;0;10;6;6.5;UNAB12210
12.0;0.0;7;24;6.6;UNAB22115
20.0;0.0;11;20;6.6;UNAB21500
32.0;0.0;16;15;6.6;UNAB22100
12.0;0;7;9;6.6;UNAB21503
10.0;0;5;11;6.6;UNAB22115
5.0;0;4;12;6.6;UNAB22115
27.0;0;14;2;6.6;UNAB22510
5.0;0;4;12;6.6;UNAB22115
32.0;0.0;16;15;6.6;UNAB11500
32.0;0.0;16;15;6.6;UNAB11500
20.0;0.0;11;20;6.6;UNAB12210
0.0;0;0;16;6.6;UNAB12210
32.0;0.0;16;15;6.6;UNAB10100
12.0;0;7;9;6.6;UNAB22115
0;0;0;0;6.7;UNAB22115
20.0;0;11;5;6.7;UNAB12210
32.0;0.0;16;15;6.7;UNAB12210
20.0;0.0;11;20;6.7;UNAB12510
15.0;0;9;7;6.8;UNAB22100
32.0;0;16;0;6.8;UNAB21500
15.0;0;10;6;6.9;UNAB22100
3.0;0.0;3;28;7;UNAB22510
13.0;25.0;16;15;7;UNAB22115
20.0;0.0;11;20;7;UNAB21503
14.0;0.0;8;23;7;UNAB22115
0.0;0;0;16;7;UNAB22115
12.0;0;7;9;7;UNAB22115
4.0;0;3;13;7;UNAB21503
12.0;0.0;7;24;7;UNAB22115
0;0;0;0;7;UNAB22115
0;0;0;0;7;UNAB21503
23.0;0.0;12;19;7;UNAB12100
0.0;0.0;0;31;7;UNAB12100
32.0;0.0;16;15;7;UNAB11500
15.0;0;9;7;7;UNAB12100
20.0;0.0;11;20;7;UNAB12210
20.0;0.0;11;20;7;UNAB12510
31.0;0;15;1;7;UNAB12210
7.0;0.0;5;42;7;UNAB12100
16.0;0.0;10;21;7;UNAB12210
17.0;0;10;6;7;UNAB12210
17.0;0;10;6;7;UNAB12100
25.0;0.0;12;19;7;UNAB12510
20.0;0;11;5;7;UNAB12210
14.0;0;9;7;7;UNAB11500
20.0;0.0;11;20;7;UNAB12100
32.0;0.0;16;15;7;UNAB12210
4.0;0.0;2;29;7;UNAB11500
